id;info1;compren1;simil1;voca1;info2;compren2;simil2;voca2
1;31.287;25.627;22.932;22.215;69.883;44.424;68.045;51.162
2;13.801;14.787;7.581;15.373;41.871;44.862;33.897;37.741
3;34.97;34.675;28.052;26.841;60.424;50.26;35.844;55.477
4;24.795;31.391;8.208;20.197;52.865;42.669;45.802;35.987
5;25.263;30.263;15.977;35.417;67.368;86.654;72.368;60.417
6;15.402;23.399;11.453;20.56;46.437;52.956;22.537;47.716
7;15.38;-1.253;2.318;13.004;53.977;36.341;39.912;35.373
8;19.883;6.704;14.16;14.868;26.901;33.02;21.679;22.763
9;12.632;13.847;10.276;23.224;54.737;40.163;36.591;54.803
10;23.69;25.446;11.416;21.786;45.119;52.232;53.508;53.929
11;25.298;29.337;13.202;25.692;64.583;44.643;62.946;64.531
12;22.262;12.946;6.186;16.897;43.69;39.732;25.319;28.951
13;23.816;28.571;11.749;19.13;29.614;28.571;24.172;38.696
14;23.333;25;21.429;21.25;55.476;47.959;44.388;46.696
15;17.544;28.947;10.902;17.829;35.088;36.466;14.662;49.408
16;20.43;35.714;11.175;24.113;46.237;35.714;38.825;45.887
17;16.667;3.571;7.143;17.5;42.121;50.325;38.312;36.591
18;25.476;27.934;17.538;18.192;39.762;35.587;21.365;24.888
19;18.947;9.211;13.346;16.118;40;39.286;32.143;43.75
20;25.439;19.737;16.165;18.224;67.544;57.331;53.759;57.697
21;1.037;23.254;-4.524;8.361;72.148;56.587;52.619;56.694
22;24.737;32.769;15.539;17.566;66.842;51.566;53.133;57.039
23;12.924;24.937;17.732;24.868;37.485;28.697;25.251;32.763
24;18.129;18.797;15.852;14.254;35.673;30.075;34.649;35.307
25;15.952;17.347;14.158;13.438;37.381;32.653;17.985;22.813
26;27.427;22.306;22.055;34.342;73.041;74.937;59.649;69.868
27;29.591;31.391;20.99;28.553;64.678;65.226;58.584;56.184
28;31.429;32.781;33.546;21.339;74.286;51.913;75.638;61.518
29;20.788;25.584;14.805;25.659;68.061;60.649;45.974;65.205
30;18.596;22.744;14.286;17.368;57.193;49.06;14.286;39.737
31;30;30.867;27.806;32.054;80;65.306;69.898;62.857
32;25.263;29.511;22.368;24.474;39.298;55.827;48.684;54.737
33;20;0.893;17.411;17.969;48.571;54.464;51.849;56.808
34;18.246;30.075;9.023;25.132;49.825;60.15;46.617;52.763
35;15.088;24.812;16.917;17.039;46.667;28.571;35.714;26.25
36;22.262;17.474;20.663;16.696;43.69;25.128;35.969;32.768
37;19.123;23.684;10.338;33.421;68.246;68.797;74.248;51.842
38;14.023;18.103;11.33;20.453;55.402;32.882;48.276;47.608
39;21.429;4.592;4.082;10;35.714;23.724;27.041;38.125
40;31.19;20.408;14.541;23.817;45.476;51.02;60.459;54.621
41;8.571;5.612;5.612;13.571;37.143;36.224;36.224;29.643
42;15.439;12.782;12.97;25;40;42.857;39.286;50
43;17.953;6.955;22.494;24.276;42.515;52.068;52.569;47.961
44;23.81;32.398;14.541;25.357;52.381;47.704;29.847;46.786
45;18.452;10.969;6.441;10.179;39.881;56.888;40.88;42.321
46;28.095;26.148;26.276;33.661;70.952;60.587;64.541;68.482
47;16.092;10.345;6.281;18.384;50.575;32.512;58.005;40.366
48;33.393;38.967;31.505;29.821;72.679;42.793;39.158;61.964
49;20.702;22.682;22.431;21.491;31.228;41.479;37.469;43.86
50;16.31;6.569;10.587;14.754;37.738;41.008;18.24;29.487
51;16.839;30.603;11.823;25.884;54.77;49.076;41.379;45.28
52;15.476;23.724;5.612;16.161;33.333;42.857;28.571;36.25
53;12.5;17.347;20.918;17.009;62.5;47.959;51.531;46.473
54;16.31;13.776;6.696;14.665;37.738;44.388;33.482;34.754
55;23.988;39.477;15.051;27.924;63.274;50.957;60.969;53.371
56;13.333;21.429;3.571;13.75;27.368;25.188;14.85;25.592
57;18.276;15.025;11.576;23.362;66.552;37.192;37.438;49.224
58;18.333;34.949;16.709;35.402;68.333;57.908;51.148;60.848
59;15.965;17.356;13.784;9.123;37.018;32.393;28.822;35.439
60;31.548;29.592;26.339;29.018;52.976;60.204;53.125;55.804
61;19.94;21.046;16.518;27.121;59.226;59.311;43.304;52.567
62;15.774;5.612;5.995;9.777;33.631;36.224;28.954;39.241
63;24.854;36.842;25.752;27.259;70.468;70.677;48.308;57.522
64;21.726;31.76;8.992;23.326;53.869;39.413;43.431;56.808
65;15.263;15.852;21.178;13.509;36.316;45.927;24.937;35.877
66;6.667;17.857;3.571;12.5;38.81;44.643;30.357;39.286
67;4.035;21.429;18.17;14.013;35.614;21.429;14.411;25.855
68;12.381;13.52;9.949;16.563;40.952;36.48;32.908;44.688
69;20.952;34.758;7.526;34.799;49.524;46.237;45.791;52.21
70;10.351;18.233;7.456;11.667;31.404;40.789;26.253;36.667
71;23.333;21.429;10.714;15;48.333;44.388;33.673;41.786
72;19.828;17.426;10.16;17.22;30.172;43.288;43.411;34.03
73;9.598;21.059;3.264;18.621;33.736;43.227;21.736;26.379
74;16.845;14.477;0.383;12.835;27.56;25.957;23.342;32.924
75;20.292;25;14.662;21.535;37.836;25;37.218;38.64
76;24.881;30.995;24.235;10.357;42.738;42.474;31.888;31.786
77;17.895;26.88;11.842;19.737;60;60.714;60.714;50
78;22.924;35.464;21.241;23.531;47.485;50.501;32.519;36.689
79;25.952;27.551;9.184;17.946;36.667;42.857;32.143;48.75
80;30.952;34.694;37.755;25.714;66.667;50;60.714;52.5
81;17.381;8.291;14.413;15.402;38.81;42.73;18.24;27.455
82;26.199;28.321;20.802;20.548;40.234;35.84;39.599;41.601
83;18.81;23.469;11.735;22.321;50.952;54.082;27.041;57.143
84;10.994;29.95;8.521;17.368;39.064;56.266;34.837;48.947
85;22.816;12.623;9.791;13.966;33.161;45.874;28.264;34.655
86;22.874;17.18;14.101;17.263;50.46;57.82;25.185;31.487
87;24.737;22.744;23.308;23.421;38.772;0.188;42.105;32.632
88;15.439;12.594;28.008;16.184;40;46.429;39.286;42.5
89;20.702;25.94;25.376;19.934;34.737;44.737;32.895;43.618
90;25.517;24.138;20.443;39.655;60;50;50;50
91;11.19;20.281;21.046;15.893;32.619;31.76;24.872;31.964
92;22.619;31.696;21.046;26.987;65.476;58.482;44.005;57.79
93;27.083;28.954;14.86;23.17;52.083;51.913;49.298;63.348
94;11.19;1.531;17.092;11.875;43.333;32.143;28.571;40
95;9.885;11.515;4.988;18.987;51.264;44.766;30.85;46.142
96;20.409;21.742;14.536;19.079;44.971;40.539;29.574;38.816
97;16.491;25.188;12.03;22.368;51.579;59.023;34.586;48.684
98;28.214;34.758;30.23;25.156;49.643;46.237;53.189;53.281
99;22.679;13.52;6.441;2.768;61.964;59.439;48.533;61.696
100;18.214;11.224;11.607;13.571;36.071;41.837;38.393;40.357
101;22.44;13.01;4.592;16.272;33.155;28.316;35.204;31.004
102;22.976;26.913;17.474;25.424;58.69;49.872;55.74;45.513
103;17.701;25.739;19.15;23.922;38.391;40.517;45.012;52.371
104;14.561;25.752;15.038;14.671;39.123;40.789;30.075;33.092
105;3.69;0.255;0.255;10.134;25.119;15.561;15.561;18.17
106;7.619;8.801;5.23;11.741;36.19;31.76;28.189;35.848
107;13.81;3.699;9.184;11.205;42.381;38.138;24.49;36.652
108;17.738;25.638;11.735;21.83;49.881;44.77;42.347;39.241
109;18.363;28.571;17.105;11.996;42.924;28.571;28.383;38.311
110;19.123;24.248;9.586;21.908;36.667;39.286;32.143;33.75
111;15.238;31.888;16.071;19.107;43.81;28.061;42.857;43.214
112;15.497;24.499;5.388;20.461;33.041;32.018;31.704;32.303
113;25.417;27.615;20.408;28.147;50.417;16.135;51.02;50.915
114;14.702;27.232;20.472;19.509;53.988;54.018;39.605;54.33
115;25.614;32.895;20.614;29.43;78.246;66.729;73.246;66.272
116;15.731;20.677;9.336;17.917;43.801;43.233;50.689;42.917
117;15.333;31.364;9.675;16.636;55.333;54.74;40.844;42.545
118;26.131;42.474;11.99;32.031;36.845;50.128;57.908;41.406
119;18.333;27.041;12.5;25.357;43.333;50;39.286;57.5
120;16.322;3.448;6.034;13.017;71.494;58.867;76.232;42.759
121;15.263;12.531;24.499;23.224;36.316;38.847;32.018;31.118
122;13.333;21.429;7.143;15;38.333;48.214;37.755;39.107
123;30.69;27.155;17.057;26.724;78.966;53.017;50.308;47.414
124;17.368;21.867;11.654;27.917;59.474;48.183;68.045;52.917
125;18.182;19.805;1.948;32.727;80;39.286;64.286;60
126;30.175;34.649;25.501;30.68;72.281;64.724;74.373;68.838
127;17.963;27.183;20.238;18.75;58.704;54.96;44.048;43.75
128;21.287;18.358;10.338;16.447;38.83;44.674;44.173;36.184
129;22.488;19.989;15.885;18.116;52.338;45.576;35.075;40.504
130;21.429;16.582;15.816;19.643;35.714;39.541;31.122;41.071
131;23.216;30.451;27.82;21.272;61.813;53.008;61.654;51.535
132;27.857;15.179;6.505;19.554;49.286;41.964;48.597;49.018
133;32.749;20.802;24.624;25.789;67.836;58.396;47.18;53.421
134;22.083;30.166;32.781;27.924;47.083;49.298;40.434;48.013
135;15.789;26.566;8.271;17.544;47.368;41.604;53.383;35.965
136;19.107;23.406;13.01;26.272;29.821;42.538;28.316;41.004
137;19.713;13.978;16.441;19.784;43.851;39.84;49.692;37.888
138;20.417;9.375;8.036;17.188;45.417;51.467;30.995;41.295
139;17.5;21.939;18.878;20.893;42.5;37.245;49.49;47.679
140;17.414;41.933;14.163;24.203;48.448;53.017;58.498;48.772
141;17.5;22.768;3.125;13.906;38.929;41.901;37.564;33.996
142;20;10.714;10.714;13.75;41.429;26.02;33.673;29.821
143;19.226;6.314;6.952;24.554;65.655;56.059;18.431;51.339
144;17.738;15.242;11.671;14.621;39.167;34.375;30.804;32.031
145;7.368;4.323;8.835;13.684;38.947;38.158;31.391;29.474
146;20;25;10.714;25;54.483;47.167;51.355;52.155
147;25.497;42.356;31.642;27.829;60.585;57.393;46.679;55.461
148;19.532;20.802;6.14;24.561;33.567;39.599;36.216;37.719
149;16.901;7.206;3.759;12.654;30.936;10.965;15.038;21.864
150;26.31;21.046;13.967;14.576;47.738;44.005;33.099;40.022
151;18.571;19.707;16.135;22.545;47.143;54.145;50.574;46.652
152;30.468;25.627;18.296;24.189;58.538;63.221;44.612;50.504
153;17.184;22.044;28.633;23.017;48.218;58.99;32.328;54.052
154;31.754;30.639;15.414;28.553;63.333;60.714;64.286;57.5
155;15.238;15.816;18.878;21.607;43.81;38.776;34.184;45.714
156;18.81;15.306;15.816;15.893;50.952;30.612;38.776;29.286
157;10.476;14.413;4.209;12.857;24.762;18.24;23.342;23.571
158;16.667;25;14.286;17.5;38.095;17.347;33.418;32.232
159;12.083;21.747;4.528;17.612;37.083;25.574;16.008;18.951
160;11.345;18.358;11.654;18.026;56.959;44.674;34.211;45.658
161;16.257;13.596;17.356;14.671;40.819;54.95;47.431;34.408
162;3.869;11.161;3.89;9.196;36.012;37.946;23.023;35.982
163;17.251;22.118;11.278;24.452;52.339;63.471;45.113;66.557
164;21.429;25.765;19.388;24.554;50;41.071;50;40.625
165;15.576;8.961;16.883;17.591;37.394;44.026;36.364;40.773
166;15.789;20.489;20.802;15.044;26.316;31.767;28.321;29.518
167;16.667;21.429;17.857;17.5;34.524;55.867;36.99;44.286
168;21.754;16.479;15.539;18.706;42.807;42.794;30.576;33.18
169;23.333;17.857;10.714;26.25;40.575;32.635;47.66;44.353
170;22.865;46.491;21.053;22.215;50.936;42.732;43.609;39.32
171;20.06;38.648;25.702;23.46;59.345;46.301;60.14;56.942
172;15.476;16.071;5.867;22.321;47.619;42.857;40.306;38.393
173;24.54;37.007;24.815;23.858;48.678;62.869;21.121;51.013
174;27.241;32.389;15.64;21.595;44.483;39.778;56.281;31.94
175;32.339;37.218;27.506;35.241;67.427;59.774;65.1;57.61
176;21.93;20.677;16.353;15.395;35.965;28.195;31.391;36.447
177;11.871;5.576;4.825;17.851;39.942;35.652;23.622;23.114
178;19.94;19.133;16.837;15.848;59.226;34.439;47.449;56.027
179;18.218;4.68;12.192;19.849;49.253;26.847;41.749;41.832
180;15.893;27.615;24.298;21.83;62.321;85.013;66.39;62.009
181;28.421;33.459;16.353;34.737;63.509;59.774;57.707;54.474
182;28.596;33.647;22.932;31.645;67.193;63.722;53.008;64.539
183;15.952;9.439;9.949;23.125;37.381;47.704;32.908;41.875
184;10.46;20.936;15.148;19.138;72.529;61.576;77.956;52.759
185;15.774;9.184;24.617;15.246;33.631;39.796;32.27;35.335
186;24.943;15.887;25.862;21.034;73.218;63.916;51.724;52.069
187;31.839;27.463;10.345;27.888;59.425;64.409;58.374;52.457
188;14.561;13.033;12.531;12.083;46.14;31.83;38.847;37.083
189;24.702;38.712;23.278;31.295;63.988;50.191;57.717;55.402
190;22.242;19.091;23.052;18.091;44.061;65.844;62.013;56.273
191;24.503;19.612;11.09;11.711;59.591;72.243;22.368;63.026
192;26.905;32.398;25.128;22.857;41.19;47.704;32.781;44.286
193;23.571;21.684;14.796;15.469;37.857;36.99;45.408;43.594
194;23.571;20.153;14.668;21.295;59.286;43.112;18.495;46.741
195;14.561;2.256;5.451;9.474;39.123;47.368;43.045;48.947
196;24.762;22.385;18.431;18.705;53.333;41.518;29.911;42.813
197;19.138;20.32;17.488;16.724;36.379;42.488;24.877;32.241
198;20.643;28.947;14.724;20.504;59.24;51.504;41.04;50.768
199;27.661;37.531;30.138;25.57;62.749;63.847;60.213;54.518
200;19.048;3.571;34.694;20.714;51.19;30.357;42.347;43.482
201;17.619;30.548;11.416;19.821;46.19;49.681;45.855;51.964
202;15.576;9.545;8.961;24.455;37.394;32.922;44.026;35.364
203;21.152;35.714;10.909;21.568;53.879;35.714;61.558;54.295
204;20;35.714;21.429;20;45.455;59.091;75.974;48.636